Title,Author,CallNo,AccNo,
Asian medical systems: a comparative study,"Leslie, Charles",610 ASI,96819,
Asia's land and peoples: a geography of one-third the earth and two-third of its people,"Cressey, George B",915 CRE,C3909,
Asoka and the decline of the Mauryas,"Thapar, Romila",934.04 THA,99564,
ASP.NET 4: unleashed,"Walthe, Stephen",005.276 WAL,299560,
"Aspects of caste in South India, Ceylon and North West Pakistan","Leach, E. R",305.51220954 ASP,59568,
Aspects of democratic government and politics in India,"Bombwall, K. R., ed.",321.80954 ASP,C9142,
Aspects of Indian economic development: a book of readings,"Chaudhari, Pramit",338.954 ASP,55376,
Aspects of Indian writing in English: essays in Honour of professor K.R. Srinivasa Iyengar,"Naik, M. K ed.",820.008 ASP,198343,
Assembly language for the PC,"Socha, John",005.265 SOC,202091,
Assessment and treatment of muscle imbalance: the janda approach,"Page, Phil",616.742 PAG,285817,
Atext book of elementary electrical engineering,"Mehta, V K",621.3 MEH,232876,
Atkins' physical chemistry,"Atkins, P. W",541.3 ATK,254822,
Atkins' Physical chemistry,"Atkins, Peter",541.3 ATK,314571,
Atkins' physical chemistry: Student's solutions manual to accompany,"Trapp, C. A.",541.3 TRA,301167,
"Atom, laser and spectroscopy","Thakur, S.N.",539.14 THA,278500,
Atomic physics,"Foot, C.J.",539.7 FOO,257354,
"Atoms, molecules and lasers","Nair, K.P.R.",539.7 NAI,258653,
Audio and video engineering systems: principles and troubleshooting,"Gupta, R. G.",621.3897 GUP,182104,
"Auditing: incorporating companies (amendment) act, 2000","Shekhar, K C",657.45 SHE,235608,
Auditing: priciples and practice,Ravinder Kumar,657.45 RAV,303679,
Auditing: principles and problems,"Sharma, T. R",657.45 SHA,189861,
Australia: a study of warin environments and their effect on British settlements,"Taylor, Griffith",919.4 TAY,49179,
Autolisp: an insight into auto CAD programming,"Naskar, T K",005.362 NAS,230819,
Automatic control systems,"Kuo, Benjamin C",629.8 KUO,233730,
"Automation, production systems, and computer integrated manufacturing","Groover, Mikell P",629.895 GRO,168574,
Automative technology,"Sethi, H. M",629.2028 SET,168374,
Automechanics simplified automobile objective type,"Sethi, G S",629.2 SET,234965,
Automobile electrical engineering: theory and practice,"Arora, B.D.",629.2 ARO,232780,
Automobile engineering,"Narang, G. B. S",629.2 NAR,140466,
Automobile engineering,"Gupta, R.B.",629.2 GUP,303099,
Automobile technology,"Giri, N. K.",629.2028 GIR,233229,
Automotive drive trains: automatic and manual,"Thiessen, Frank J",629.24 THI,182421,
Automotive electrical equipment,"Kohli, P L",621.381 KOH,236155,
Automotive engines,"Srinivasan, S",629.25 SRI,203133,
Automotive mechanics,"Crouse, William Harry",629.2 CRO,168311,
Automotive mechanics: principles and practices,"Heitner, Joseph",629.2 HEI,181781,
Axiomatic design: advances and applications,"Suh, Nam Pyo",620.0042 SUH,276179,
B. Sc. practical physics,Harnam Singh,530 HAR,320760,
Bacon,"Church, R. W",826.092 CHU,103544,
Bacterial and bacteriophage genetics,"Birge, Edward A",579.26 BIR,200398,
Bacterial metabolism,"Gottschalk, Gerhard",579.3 GOT,241960,
Banking theory and practice,"Shekhar, K C",332.1 SHE,235605,
Banking: theory and practice,"Srivastava, Prem Kumar",332.10954 SRI,191167,
Basic abstract algebra,"Bhattacharya, P. B",512.02 BHA,316101,
"Basic algebra: groups, rings and fields","Cohn, P.M.",512 COH,238669,
Basic and applied thermodynamics,"Nag, P K.",621.4021 NAG,236161,
Basic biophysics: for biologists,"Daniel,M.",571.4 DAN,206720,
Basic carrier telephony,"Talley, David",621.3878 TAL,181775,
Basic circuit theory,"Huelsman, Lawrence P.",621.38132 HUE,233740,
Basic civil and mechanical engineering,"Jayagopal, L S",621 JAY,233466,
Basic civil engineering,"Palanichamy, M. S",624 PAL,196345,
Basic computation and programming with C,"Saha, Subrata",004.0151 SAH,316854,
Basic concepts of physics,"Beiser, Arthur",539 BEI,68919,
Basic course in crystallography,"Tareen, J.A.K.",548 TAR,242294,
Basic econometrics,"Gujarati, Damodar N",330.015195 GUJ,320762,
Basic electrical and electronics engineering,Manoj Kumar,621.3 MAN,233893,
Basic electrical engineering,"Mittle, V. N",621.3 MIT,177846,
Basic electrical engineering,"Nagrath, I. J",621.3 NAG,182185,
Basic electrical engineering,"Chattopadhyay, Surajit",621.3 CHA,275606,
Basic electrical engineering: with numerical problems,"Dhogal, P.S",621.3 DHO,232090,
Basic electrical science and technology,"Murugesh Kumar, K",621.3 MUR,232910,
Basic electronics,"Tayal, D.C.",537.5 TAY,299501,
Basic electronics,"Tayal, D.C.",537.5 TAY,299502,
Basic electronics and linear circuits,"Bhargava,N.N.",621.38132 BHA,301879,
Basic electronics: a text-lab manual,"Zbar, Paul B",621.381 ZBA,236235,
"Basic electronics: devices, circuits and it fundamnetals","Kal, Santiram",621.38132 KAL,231105,
"Basic electronics: devices, circuits and it fundamnetals","Kal, Santiram",621.38132 KAL,231106,
"Basic electronics: devices, circuits and it fundamnetals","Kal, Santiram",621.38132 KAL,231107,
Basic electronics: solid state,"Theraja, B. L",621.381 THE,229282,
"Basic environmental technology: water supply, waste management, and pollution control","Nathanson, Jerry A",628 NAT,230962,
"Basic environmental technology: water supply, waste management, and pollution control","Nathanson, Jerry A",628 NAT,230963,
Basic financial accounting,"Monga, J. R",657.48 MON,195245,
Basic financial management,"Khan, M. Y.",658.15 KHA,192483,
Basic inorganic chemistry,"Cotton, F. Albert",546 COT,314104,
Basic linear partial differential equations,"Treves, Francois",515.353 TRE,254381,
Basic marketing: a global -managerial approach,"Perreault, William D.",380.1 PER,229662,
Basic marketting: principles and practice,"Cannon, Tom",658.8 CAN,199238,
Basic multivariable calculus,"Marsden, Jerrold E.",515 MAR,238694,
Basic practice of statistics,"Moore, David S.",310 MOO,276589,
Basic psychology,"Gleitman, Henry",150 GLE,176923,
Basic quantitative methods: for economics and business,Shahid Ashraf,330.1 SHA,191810,
Basic quantitative methods: for economics and business,Shahid Ashraf,330.1 SHA,216944,
Basic refrigeration and air conditioning,"Ananthanarayanan, P. N",621.56 ANA,203064,
Basic soil mechanics and foundations,Alam Singh,624.15136 ALA,181843,
Basic statistics,"Nagar, A. L",310 NAG,63797,
Basic statistics,"Agarwal, B. L.",310 AGA,234617,
Basic structural analysis,"Reddy, C S",624.171 RED,317737,
Basic structural analysis: SI units,"Reddy, C. S",624.171 RED,189293,
Basic structural mechanics,"Prasad, V. S",624.171 PRA,196350,
Basic techniques in biochemistry and molecular biology,"Sharma, R K",572.8 SHA,270580,
Basic techniques in biochemistry and molecular biology,"Sharma, R K",572.8 SHA,270581,
Basic vector calculus: a problem oriented uncluttered friendly approach,Bansi Lal,515.64 BAN,175497,
Basic VLSI design,"Pucknell, Douglas A",621.395 PUC,233751,
"Basics of electrical & electronics engineering: for diploma in mechanical, auto, production, ceramics and other branches","Mehta, V.K.",621.3 MEH,232540,
Basics of electronic communications,NIIT,621.382 NII,231116,
Basics of engineering mechanics,"Jindal, U.C.",620.1 JIN,250906,
Basics of marketing management: theory and management,"Rudani, R. B.",658.8 RUD,301015,
Basics of refrigeration and air-conditioning,"Anand, M. L",621.51 ANA,303095,
Basics of toxicology,"Kent, Chris",615.9 KEN,286282,
Basics of wireless communications,,384.5 BAS,231137,
Baur encyclopedia of Biblical theology,"Bauer, Johannes B",230.03 BAU,60766,
Bayesian reasoning and machine learning,"Barber, David",006.31 BAR,316857,
Becker's world of the cell,"Hardin, Jeff",571.6 HAR,317687,
Becoming confident teachers: A guide for academic librarians,"McGuinness,Claire",023.2 MCG,287386,
Beginning ASP.NET 4.5 in C#,"MacDonald, Matthew",005.276 MAC,299548,
Beginning ASP.NET 4: in C # and VB,"Spaanjaars, Imar",005.276 SPA,297108,
Beginning perl for bioinformatics,"Tisdall, James D.",005.133 TIS,318920,
Behavior in organizations,"Greenberg, Jerald.",658.4 GRE,271837,
Berkeley problems in mathematics,"De Souza, Paulo  Ney",515.076 DES,237156,
Beyond the sociology of development: economy and society in Latin America and Africa,"Oxaal, Ivar",301 BEY,109083,
Bibliographic databases and networks: proceedings,International Conference on Bibliographic Databases and Networks,025.30285574 BIB,137787,
Bibliography,Girja Kumar,010.4 GIR,107031,
Bibliography in theory and practice,"Chakraborti, M. L",028.5 CHA,112434,
Bibliography of children's books published in India,India. Children's Book Trust,019.0954 IND,107419,
"Big data analytics beyond hadoop: real-time applications with storm, spark and more hadoop alternatives","Agneeswaran, Vijay Srinivas",006.312 AGN,319822,
Biochemical calculations: how to solve mathematical problems in general biochemistry,"Segel, Irwin H.",572.380151 SEG,182591,
Biochemical methods: A concise guide for students and researchers,"Pingoud, A.",660.6 PIN,228958,
Biochemistry,"Davidson, Victor L",572 DAV,159109,
Biochemistry,"Southerland, William M",572 SOU,159114,
Biochemistry,"Rastogi, S. C",572 RAS,159457,
Biochemistry,"Voet, Donald",572 VOE,166552,
Biochemistry,"Garrett, Reginald H",572 GAR,182571,
Biochemistry,"Campbell, Mary K",572 CAM,198803,
Biochemistry,"Hames, B. D",572 HAM,201372,
Biochemistry,"Berg , Jeremy M.",572 BER,236648,
Biochemistry,"Mathews, Christopher K.",572 MAT,266600,
Biochemistry,"Berg, Jeremy M",572 BER,270929,
Biochemistry,"Garrett, Reginald H.",572 GAR,278609,
Biochemistry,"Voet, Donald",572 VOE,318925,
Biochemistry and molecular biology of plants,"Buchanan, Bob B.",572.8 BUC,278108,
Biochemistry of microbial degradation,"Ratledge, Colin, ed.",572 BIO,206472,
Biochemistry resource book,"Moran, Laurence A",572 MOR,158690,
"Biochemistry: a case oriented approach,","Montgomery, Roy",572 MON,159113,
Biochemistry: international student version,"Voet, Donald",572 VOE,285324,
Biochemistry: the chemical reactions of living cells,"Metzler, David E.",572 MET,276586,
Biochemistry: with cell biology,"Das, Debajyoti",572 DAS,185328,
Biodegradation and Bioremediation.,"Alexander, Martin.",620.11223 ALE,206697,
Bioenergetics 3,"Nicholls, David G",572.43 NIC,287513,
Bioenergetics: an introduction to the chemiosmotic theory,"Nicholls, David G",572.43 NIC,107250,
Bioinformatics,"Dear, Paul H., ed.",572.8633 BIO,275628,
Bioinformatics and drug discovery,"Larson, Richard S., ed.",615.19 BIO,319826,
Bioinformatics: a practical guide to the analysis of genes and proteins,"Baxevanis, Andreas D., ed.",572.86330285 BIO,275647,
"Bioinformatics: databases, tools, algorithms","Bosu, Orpita",570.285 BOS,319831,
Bioinformatics: managing scientific data,"Lacroix, Zoe, ed.",570.0285 BIO,319868,
"Bioinformatics: methods and applications; genomics, proteomics and drug discovery","Rastogi, S.C.",576.5 RAS,314855,
Bioinformatics: sequence and genome analysis,"Mount, David W",572.86 MOU,285337,
Bioinorganic chemistry,"Rehder, Dieter",572.51 REH,301131,
Biological sequence analysis: probalitistic models of proteins and nucleic acids,"Durbin, Richard",572.8633 BIO,275633,
Biology,"Mader, Sylvia S",570 MAD,177947,
Biology of animals,"Sinha, Arup Kumar",591 BIO,205386,
Biology of cancer,"Weinberg, Robert A,",616.994071 WEI,298885,
Biology: the unity and diversity of life,"Starr, Cecie",570 STA,191848,
Bio-Medical electronics and instrumentation,"Venkata Ram, S.K.",610.284 VEN,250909,
Bioorganic chemistry: carbohydrates,"Hecht, Sidney M., ed.",572.56 BIO,265237,
Bioorganic chemistry: carbohydrates,"Hecht, Sidney M., ed.",572.56 BIO,265238,
Biophysical chemistry,"Cantor, Charles R",572 CAN,110665,
Biophysical chemistry: principles and techniques,"Upadhyay, Avinash",572 UPA,204297,
Biophysics,"Hoppe, Walter",571 BIO,106271,
Biophysics,"Hoppe, Walter, ed.",571.4 BIO,107046,
Biophysics,"Pattabhi, Vasantha",571.4 PAT,284122,
Biophysics: an introduction,"Cotterill, Rodney M.J.",571.4 COT,247427,
Bioprocess engineering principles,"Doran, Pauline M.",660.63 DOR,241965,
Biopsychology,"Kalat, James W",152 KAL,276889,
Bioremediation,"Valdes, James J., ed.",628.52 BIO,206477,
Bioseparations: priciples and techniques,"Sivasankar, B.",660.2842 SIV,242776,
Biostatistics,"Arora, P.N.",570.15195 ARO,204604,
Biotechnology for waste and wastewater treatment,"Cheremisinoff, Nicholas P",628.16836 CHE,205354,
Biotechnology in industrial waste treatment and bioremediation,"Smith, Gretchen",628.4 BIO,204647,
Biotransformations in organic chemistry: a textbook,"Faber, Kurt",660.634 FAB,258621,
Bleak house,"Dickens, Charles",823.8 DIC,178293,
Blueprint reading: for the mechanical trades,"Sachdeva, B.R.",604.2 SAC,203202,
Bluetooth technology and its applications with Java and J2ME,"Prabhu, C S R",621.3821 PRA,231313,
Boiler operation engineering: question and answers,"Chattopadhyay, P",621.194 CHA,236136,
Boiler operations: questions and answers,"Chattopadhyay, P",621.183 CHA,168308,
Book of English essays,"Williams, W. E ed.",824.4 BOO,49887,
Bottom - line training: how to design and implement successful programs that boost profits,"Ford, Donald J.",658.312404 FOR,207704,
Boundary - layer theory,"Schlichting, Herrmann.",532.051 SCH,235669,
Brand management practices: issues and trends,"Sasikumar, K.",658.8343 SAS,296840,
British government and politics,"Randall, F",351.42 RAN,69256,
Buddenbrooks,"Ridley, Hugh",833.912 MAN,178357,
Budgeting: profit planning and control,"Welsch, Glenn A.",658.154 WEL,229874,
Budgets and budgetary procedures in India: 1947-48 to 2009-10,"Sury, M.M.",352.480954 SUR,273970,
Building construction,Sushil Kumar,690 SUS,301448,
Building construction,"Arora, N.L.",690 ARO,316128,
Building construction drafting and design,"Molnar, John",690 MOL,203493,
"Building-design-drawing with plans: residence, commercial and industrial","Mittal, Upasna",692.1 MIT,234815,
Bureaucracy and development: the case of Indian agriculture,"Roy, Ramashray",352.63 ROY,61683,
Business administration and management,"Saksena, S. C",658 SAK,189871,
Business and corporate law,"Saravanavel, P.",346.5407 SAR,296804,
Business and corporate laws: a self - Study textbook,"Tulsian, P. C.",346.5407 TUL,301018,
Business and government,"Cherunilam, Francis",658.00954 CHE,176450,
Business and industrial laws: a self study textbook,"Tulsain, P. C.",343.07 TUL,301021,
Business communication,"Pradhan, Homai",651.7 PRA,176448,
Business Communication,K.K. Sinha,651.7 SIN,188932,
